frame,object,x_pos,rotation
0,person1,1485.6326,270
0,person2,514.59875,90
0,person3,130.07838,90
1,person1,1479.1582,270
1,person2,516.7107,90
1,person3,131.63719,90
2,person1,1473.5913,270
2,person2,517.01917,90
2,person3,132.64474,90
3,person1,1466.033,270
3,person2,516.6577,90
3,person3,133.90396,90
4,person1,1456.9983,270
4,person2,517.0002,90
4,person3,132.79361,90
5,person1,1450.3251,270
5,person2,517.3755,90
5,person3,135.82582,90
6,person1,1444.8057,270
6,person2,517.9498,90
6,person3,136.85909,90
7,person1,1441.8839,270
7,person2,517.6154,90
7,person3,135.61786,90
8,person1,1437.5575,270
8,person2,518.0182,90
8,person3,137.28687,90
9,person1,1429.0781,270
9,person2,517.9624,90
9,person3,137.84625,90
10,person1,1428.7557,270
10,person2,518.069,90
10,person3,139.05453,90
11,person1,1418.4517,270
11,person2,517.971,90
11,person3,139.08203,90
12,person1,1413.5,270
12,person2,518.0171,90
12,person3,139.41888,90
13,person1,1407.5568,270
13,person2,517.49207,90
13,person3,140.23257,90
14,person1,1402.977,270
14,person2,517.8122,90
14,person3,141.83191,90
15,person1,1397.3645,270
15,person2,517.3988,90
15,person3,143.6834,90
16,person1,1389.7532,270
16,person2,517.64075,90
16,person3,145.29028,90
17,person1,1384.243,270
17,person2,517.5226,90
17,person3,146.81999,90
18,person1,1377.3279,270
18,person2,517.46265,90
18,person3,150.0787,90
19,person1,1371.9177,270
19,person2,517.3033,90
19,person3,153.7822,90
20,person1,1367.823,270
20,person2,517.5435,90
20,person3,155.29555,90
21,person1,1361.5474,270
21,person2,517.7245,90
21,person3,156.83455,90
22,person1,1357.7698,270
22,person2,517.3707,90
22,person3,158.38293,90
23,person1,1351.8756,270
23,person2,515.86865,90
23,person3,160.00623,90
24,person1,1347.3733,270
24,person2,162.01112,90
24,person3,515.966,90
25,person1,1341.1588,270
25,person2,516.0407,90
25,person3,163.95183,90
26,person1,1339.2195,270
26,person2,516.0908,90
26,person3,166.92047,90
27,person1,1332.7759,270
27,person2,515.8087,90
27,person3,169.12868,90
28,person1,1326.6946,270
28,person2,515.78516,90
28,person3,170.73114,90
29,person1,1322.2784,270
29,person2,516.6974,90
29,person3,172.20029,90
30,person1,1316.7756,270
30,person2,516.09045,90
30,person3,174.32559,90
31,person1,1311.8492,270
31,person2,515.8396,90
31,person3,176.84154,90
32,person1,1305.5378,270
32,person2,515.4122,90
32,person3,177.2769,90
33,person1,1299.5486,270
33,person2,515.5309,90
33,person3,178.60968,90
34,person1,1291.3218,270
34,person2,515.12354,90
34,person3,180.74564,90
35,person1,1286.1213,270
35,person2,514.9811,90
35,person3,182.68855,90
36,person1,1281.6326,270
36,person2,515.09546,90
36,person3,184.57489,90
37,person1,1277.2924,270
37,person2,514.53406,90
37,person3,184.81348,90
38,person1,1273.0249,270
38,person2,516.27106,90
38,person3,186.55817,90
39,person1,1267.97,270
39,person2,516.68365,90
39,person3,188.2656,90
40,person1,1263.5927,270
40,person2,516.6117,90
40,person3,190.27475,90
41,person1,1261.5612,270
41,person2,516.6643,90
41,person3,192.93802,90
42,person1,1255.0552,270
42,person2,516.5935,90
42,person3,195.59116,0
43,person1,1247.513,270
43,person2,516.8043,90
43,person3,197.02654,0
44,person1,1244.2695,270
44,person2,516.43365,90
44,person3,198.40257,0
45,person1,1239.3776,270
45,person2,516.5661,90
45,person3,198.59077,0
46,person1,1237.1212,270
46,person2,516.9893,90
46,person3,201.2382,0
47,person1,1233.778,270
47,person2,517.2185,90
47,person3,202.89563,0
48,person1,1229.3901,270
48,person2,517.16266,90
48,person3,204.64316,0
49,person1,1224.9739,270
49,person2,517.08417,90
49,person3,206.21838,0
50,person1,1219.5789,270
50,person2,516.97925,90
50,person3,207.03812,0
51,person1,1214.8795,270
51,person2,517.1801,90
51,person3,207.89793,0
52,person1,1210.4414,270
52,person2,517.0963,90
52,person3,207.93896,0
53,person1,1207.9885,270
53,person2,517.1051,90
